Type avion,Compagnie,Nombre de mouvements réalisés,Nombre de vol atterris décollés,Nombre de passagers max réalisés,Nombre de passagers réalisés moyen
32S,WIND ROSE,10,10,212,101.1
32S,WINDROSE AIR,18,18,213,92.11111111111111
32S,WOW AIR,3238,3238,222,165.68282890673254
32S,XL AIRWAYS FRANCE,731,731,209,129.22161422708618
32S,XL AIRWAYS GERMANY,2,2,0,0.0
32S,YEMENIA,12,12,137,77.75
330,AEROFLOT,152,152,299,198.32236842105263
330,AFRIQIYAH AIRWAYS,2,2,0,0.0
330,AIGLE AZUR,844,844,347,194.1670616113744
330,AIR ALGERIE,14514,14514,377,182.59260024803638
330,AIR AUSTRAL,14,14,319,192.71428571428572
330,AIR BERLIN INC,29,29,359,193.44827586206895
330,AIR CALIN,1,1,0,0.0
330,AIR CANADA,484,484,292,249.72520661157026
330,AIR CARAIBES ATLANTI,63,63,352,36.55555555555556
330,AIR CARAIBES S.A.,20433,20433,591,296.31488278764743
330,AIR CHINA,5224,5224,380,196.03483920367535
330,AIR CORSICA,8,8,380,251.625
330,AIR EUROPA,431,431,387,234.3016241299304
330,AIR FRANCE,59502,59502,388,169.56263655003193
330,AIR GREENLAND A,8,8,239,110.5
330,AIR MADAGASCAR,18,18,239,124.11111111111111
330,AIR MALTA PLC,4,4,335,182.25
330,AIR SEYCHELLES,1136,1136,254,181.57570422535213
330,AIR TRANSAT,7512,7512,398,321.61554845580406
330,ALITALIA,26,26,261,97.0
330,ALMASRIA UNIVERSAL A,4,4,257,224.25
330,AMBASSADE TURQUIE,4,4,0,0.0
330,AMERICAN AIRLINES,3578,3578,288,181.70067076579093
330,ARKEFLY,1,1,0,0.0
330,BH AIR,6,6,212,59.333333333333336
330,BRUSSELS AIRLINES,2,2,206,103.0
330,CAMAIR-CO,3,3,317,129.33333333333334
330,CHINA EASTERN,7346,7346,414,198.89041655322626
330,CHINA SOUTHERN AIR,5022,5022,380,188.53504579848666
330,CONDOR FLUGDIENST GM,2,2,0,0.0
330,CORSAIR INTL,14642,14642,408,271.91524381915036
330,COTAM,499,499,75,4.430861723446894
330,CUBANA,18,18,268,166.88888888888889
330,CZECH AIRLINES,4,4,277,205.5
330,DELTA AIR LINES,15620,15620,510,241.4483994878361
330,EADS CASA,7,7,0,0.0
330,EGYPTAIR,4664,4664,304,211.59455403087478
330,EL AL,8,8,305,138.5
330,ETIHAD AIRWAYS,859,859,440,202.46915017462166
330,EUROPE AIRPOST,6,6,148,72.0
330,FORCE AER. AUSTRALIE,4,4,237,59.25
330,FORCE AERIENNE BELGI,40,40,190,35.225
330,FORCE AERIENNE FRANC,8,8,29,3.625
330,FRENCH BEE,359,359,378,315.34818941504176
330,FRENCH BLUE,301,301,378,310.40199335548175
330,G.OPS_SARL,2,2,0,0.0
330,GARUDA INDONESIA AIR,2,2,0,0.0
330,GULF AIR COMPANY,296,296,380,150.75
330,HAINAN AIRLINES,1288,1288,292,206.27639751552795
330,HI FLY,42,42,215,9.595238095238095
330,IBERIA,178,178,288,204.91011235955057
330,IBERIA EXPRESS,10,10,253,116.8
330,IBERWORLD AIRLINES,18,18,0,0.0
330,ICELANDAIR,10,10,292,153.4
